Designator,Mid X,Mid Y,Rotation,Layer
H1,127.3,-47.3,0.0,top
H2,178.7,-47.3,0.0,top
H3,178.7,-150.7,0.0,top
H4,127.3,-150.7,0.0,top
H5,127.3,-92.3,0.0,top
H6,178.7,-92.3,0.0,top
J1,153.04,-149.73,270.0,bottom
J2,166.42,-149.77,90.0,bottom
J3,145.0,-102.31,0.0,bottom
J4,179.651,-98.884,0.0,top
J5,138.85,-151.0,270.0,bottom
J7,126.0,-111.31,0.0,bottom
JP1,152.575,-69.781,270.0,top
JP2,152.575,-74.48,270.0,top
J_IN1,136.295,-139.0,90.0,top
J_IN2,152.295,-139.0,90.0,top
J_IN3,169.705,-139.0,270.0,top
J_IN4,136.295,-83.0,90.0,top
J_OUT1,169.705,-83.0,270.0,top
R1,161.084,-71.813,270.0,top
R2,144.955,-71.94,270.0,top
R3,160.83,-119.565,90.0,top
RV_IN1,137.0,-111.363,90.0,top
RV_IN2,153.0,-111.363,90.0,top
RV_IN3,169.0,-111.363,90.0,top
RV_IN4,137.0,-62.1,0.0,top
RV_IN4_GAIN1,153.0,-62.1,0.0,top
RV_MAIN_VOL1,169.0,-62.1,0.0,top
RV_THRESHOLD1,149.9,-83.0,270.0,top
